Number,Relevance,Publication No.,Title,Application Date,Filing Date,Publication Date,Assignee,URL
28,0.6672638598586643,US11296325B2,Electrode for secondary battery including electrode protecting layer,2017-08-21,2017-08-21,2022-04-05,LG ENERGY SOLUTION LTD,https://patents.google.com/patent/US11296325B2
29,0.6657310639992038,US11251437B2,Lithium secondary battery including nonaqueous electrolyte having lithium-ion conductivity,2019-04-19,2019-04-19,2022-02-15,PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO LTD,https://patents.google.com/patent/US11251437B2
30,0.6481337712750075,US11275475B2,Compliant material for protecting capacitive force sensors and increasing capacitive sensitivity,2021-01-05,2021-01-05,2022-03-15,APPLE INC,https://patents.google.com/patent/US11275475B2
31,0.6476858763810092,US11228025B2,"Anode for secondary battery, secondary battery, battery pack, electric motor vehicle, power storage system, electric tool, and electronic device",2019-07-26,2019-07-26,2022-01-18,MURATA MANUFACTURING CO LTD,https://patents.google.com/patent/US11228025B2
32,0.6464516771175475,US11296379B2,Cell packaging techniques,2020-02-10,2020-02-10,2022-04-05,APPLE INC,https://patents.google.com/patent/US11296379B2
33,0.6350651935901265,US11258375B2,Load-bearing variable stiffening device comprising an electrode structure,2020-06-03,2020-06-03,2022-02-22,TOYOTA MOTOR ENGINEERING & MANUFACTURING NORTH AMERICA INC,https://patents.google.com/patent/US11258375B2
34,0.6320792276301382,US11296324B2,"Rotaxane polymer binder for lithium secondary battery, electrode comprising same, and secondary battery comprising same",2017-12-06,2017-12-06,2022-04-05,KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,https://patents.google.com/patent/US11296324B2
35,0.6319996018712053,US11296351B1,Rechargeable battery with pseudo-reference electrode,2019-01-11,2019-01-11,2022-04-05,,https://patents.google.com/patent/US11296351B1
36,0.626485518065094,US11251362B2,Stacked spin-orbit-torque magnetoresistive random-access memory,2020-02-18,2020-02-18,2022-02-15,INTERNATIONAL BUSINESS MACHINES CORP,https://patents.google.com/patent/US11251362B2
37,0.6241564646163034,US11251470B2,"Secondary battery, battery pack, vehicle, and stationary power source",2019-12-18,2019-12-18,2022-02-15,KABUSHIKI KAISHA TOSHIBA,https://patents.google.com/patent/US11251470B2
38,0.622832686374042,US11309686B2,Surface emitting laser and method of manufacturing the same,2018-04-17,2018-04-17,2022-04-19,SONY CORP,https://patents.google.com/patent/US11309686B2
39,0.6208519956205832,US11275474B2,Electronic panel and display device including the same,2020-09-18,2020-09-18,2022-03-15,SAMSUNG DISPLAY CO LTD,https://patents.google.com/patent/US11275474B2
40,0.6193490594207226,US11309533B2,"Composite oxide, active material composite material, electrode, battery, battery pack, and vehicle",2020-02-27,2020-02-27,2022-04-19,KABUSHIKI KAISHA TOSHIBA,https://patents.google.com/patent/US11309533B2
41,0.6192893401015228,US11287934B2,Display device and input device,2020-07-01,2020-07-01,2022-03-29,JAPAN DISPLAY INC,https://patents.google.com/patent/US11287934B2
42,0.6162038419428685,US11309537B2,Production method for lithium-ion battery member,2020-03-25,2020-03-25,2022-04-19,APB CORP,https://patents.google.com/patent/US11309537B2
43,0.6160744500846024,US11251420B2,Composite electrode materials for fluoride-ion electrochemical cells,2017-12-15,2017-12-15,2022-02-15,"HONDA MOTOR CO LTD, CALIFORNIA INSTITUTE OF TECHNOLOGY",https://patents.google.com/patent/US11251420B2
44,0.606270528515975,US11259747B2,Adaptive compression sleeves and clothing articles,2017-06-30,2017-06-30,2022-03-01,,https://patents.google.com/patent/US11259747B2
45,0.6040609137055838,US11309468B2,"Method of fabricating micro light emitting diode array substrate, micro light emitting diode array substrate, micro light emitting diode display apparatus",2018-11-27,2018-11-27,2022-04-19,"HEFEI XINSHENG OPTOELECTRONICS TECHNOLOGY CO LTD, BOE TECHNOLOGY GROUP CO LTD",https://patents.google.com/patent/US11309468B2
46,0.6039812879466507,US11296181B2,Display panel packaging method,2019-05-21,2019-05-21,2022-04-05,SHENZHEN CHINA STAR OPTOELECTRONICS SEMICONDUCTOR DISPLAY TECHNOLOGY CO LTD,https://patents.google.com/patent/US11296181B2
47,0.5989847715736041,US11275315B2,High-precision shadow-mask-deposition system and method therefor,2017-07-20,2017-07-20,2022-03-15,EMAGIN CORP,https://patents.google.com/patent/US11275315B2
48,0.5933711555688265,US11251369B2,Semiconductor constructions,2017-12-28,2017-12-28,2022-02-15,MICRON TECHNOLOGY INC,https://patents.google.com/patent/US11251369B2
49,0.5899572011545735,US11296158B2,Pixel structure including a lateral reflective layer,2018-11-28,2018-11-28,2022-04-05,BOE TECHNOLOGY GROUP CO LTD,https://patents.google.com/patent/US11296158B2
50,0.5854284861152582,US11251414B2,"Electrode group, secondary battery, battery pack, and vehicle",2018-03-06,2018-03-06,2022-02-15,KABUSHIKI KAISHA TOSHIBA,https://patents.google.com/patent/US11251414B2
51,0.5809097242958097,US11295944B2,Printed circuit ion mirror with compensation,2018-07-26,2018-07-26,2022-04-05,MICROMASS UK LTD,https://patents.google.com/patent/US11295944B2
52,0.5803722504230119,US11227947B2,Insulated-gate transistor,2018-10-03,2018-10-03,2022-01-18,SUMITOMO ELECTRIC INDUSTRIES LTD,https://patents.google.com/patent/US11227947B2
53,0.5758037225042302,US11278932B2,Capacitive micro-machined ultrasound transducer cell,2014-08-18,2014-08-18,2022-03-22,KONINKLIJKE PHILIPS NV,https://patents.google.com/patent/US11278932B2
54,0.5719219667562456,US11296246B2,"Photosensitive component, detection substrate and method for manufacturing the same",2019-02-14,2019-02-14,2022-04-05,BOE TECHNOLOGY GROUP CO LTD,https://patents.google.com/patent/US11296246B2
55,0.571324773564248,US11228038B2,Electrode materials and processes for their preparation,2017-06-30,2017-06-30,2022-01-18,"HYDRO-QUÉBEC, MURATA MANUFACTURING CO LTD",https://patents.google.com/patent/US11228038B2
56,0.5640091569622773,US11293459B2,Fan device,2019-08-06,2019-08-06,2022-04-05,NATIONAL CHIAO TUNG UNIVERSITY,https://patents.google.com/patent/US11293459B2
57,0.5628048173584155,US11287395B2,Capacitive gas sensor,2017-09-08,2017-09-08,2022-03-29,"HOKURIKU ELECTRIC INDUSTRY CO LTD, SHINSHU UNIVERSTIY",https://patents.google.com/patent/US11287395B2
58,0.5622175773862844,US11275045B2,Sensor,2019-11-06,2019-11-06,2022-03-15,MINEBEA MITSUMI INC,https://patents.google.com/patent/US11275045B2
59,0.557031949835772,US11254569B2,Method and device for conversion of water into hydrogen peroxide,2019-03-26,2019-03-26,2022-02-22,OXYPRO LTD,https://patents.google.com/patent/US11254569B2
60,0.5526326266547228,US11251053B2,Process for producing an electrode in a base substrate and electronic device,2020-08-11,2020-08-11,2022-02-15,STMICROELECTRONICS SAS,https://patents.google.com/patent/US11251053B2
61,0.5505324972628646,US11291988B2,Pipette tip for an automated pipetting device,2017-07-21,2017-07-21,2022-04-05,TECAN TRADING AG,https://patents.google.com/patent/US11291988B2
62,0.5503234796456653,US11296318B2,"Positive electrode active material for all-solid-state lithium-ion battery, electrode, and all-solid-state lithium-ion battery",2021-01-13,2021-01-13,2022-04-05,SUMITOMO CHEMICAL COMPANY LTD,https://patents.google.com/patent/US11296318B2
63,0.544839255499154,US11309465B2,Method of manufacturing light emitting device,2019-11-22,2019-11-22,2022-04-19,NICHIA CORP,https://patents.google.com/patent/US11309465B2
64,0.5416442719219667,US11309535B2,Electrodes for batteries,2018-06-29,2018-06-29,2022-04-19,THE HONG KONG POLYTECHNIC UNIVERSITY,https://patents.google.com/patent/US11309535B2
65,0.532994923857868,US11250996B2,Chip form ultracapacitor,2018-10-03,2018-10-03,2022-02-15,FASTCAP SYSTEMS CORP,https://patents.google.com/patent/US11250996B2
66,0.5320891808500049,US11296326B2,Energy storage device and method for manufacturing the same,2017-02-08,2017-02-08,2022-04-05,GS YUASA INTERNATIONAL LTD,https://patents.google.com/patent/US11296326B2
67,0.5261272021498955,US11296321B2,Negative electrode plate and battery,2019-04-26,2019-04-26,2022-04-05,CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,https://patents.google.com/patent/US11296321B2
68,0.514511794565542,US11295634B2,Realistic electro-anatomical model of the mammalian His/Purkinje system,2018-12-03,2018-12-03,2022-04-05,ST JUDE MEDICAL CARDIOLOGY DIVISION INC,https://patents.google.com/patent/US11295634B2
69,0.5143824027072758,US11260402B2,"Electrostatic separation device, and associated separation method and use",2020-08-18,2020-08-18,2022-03-01,SKYTECH,https://patents.google.com/patent/US11260402B2
70,0.5139743206927441,US11270648B2,Display device,2020-03-13,2020-03-13,2022-03-08,SAMSUNG DISPLAY CO LTD,https://patents.google.com/patent/US11270648B2
71,0.5126903553299492,US11292017B2,Insulated electrostatically assisted spraying extender,2020-04-29,2020-04-29,2022-04-05,,https://patents.google.com/patent/US11292017B2
72,0.5033542350950532,US11309492B2,Multi-layer structure to increase crystalline temperature of a selector device,2020-10-27,2020-10-27,2022-04-19,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LTD,https://patents.google.com/patent/US11309492B2
73,0.5011645267243954,US11269225B2,"Display apparatus and control method thereof, and display device",2019-07-02,2019-07-02,2022-03-08,BOE TECHNOLOGY GROUP CO LTD,https://patents.google.com/patent/US11269225B2
74,0.501094854185329,US11227926B2,Semiconductor device and method for fabricating the same,2020-06-01,2020-06-01,2022-01-18,NANYA TECHNOLOGY CORP,https://patents.google.com/patent/US11227926B2
75,0.49730267741614403,US11251167B2,Multi-junction LED with eutectic bonding and method of manufacturing the same,2019-09-20,2019-09-20,2022-02-15,SUNDIODE KOREA,https://patents.google.com/patent/US11251167B2
76,0.4945655419528217,US11227972B2,Solid state lighting devices with dielectric insulation and methods of manufacturing,2019-08-28,2019-08-28,2022-01-18,MICRON TECHNOLOGY INC,https://patents.google.com/patent/US11227972B2
77,0.49373942470389176,US11278724B2,Streamlined and pre-set neuromodulators,2019-04-24,2019-04-24,2022-03-22,THYNC GLOBAL INC,https://patents.google.com/patent/US11278724B2
78,0.4838558773763313,US11296015B2,Die attach methods and semiconductor devices manufactured based on such methods,2020-09-29,2020-09-29,2022-04-05,INFINEON TECHNOLOGIES AG,https://patents.google.com/patent/US11296015B2
79,0.4834278889220663,US11251401B2,Organic light-emitting display apparatus and fabrication method thereof,2020-07-13,2020-07-13,2022-02-15,SAMSUNG DISPLAY CO LTD,https://patents.google.com/patent/US11251401B2
80,0.47932716233701606,US11251497B1,Conformal wearable battery,2021-03-15,2021-03-15,2022-02-15,INVENTUS POWER INC,https://patents.google.com/patent/US11251497B1
81,0.4784015128894197,US11251505B2,"Battery module, and battery pack and vehicle comprising same",2018-04-03,2018-04-03,2022-02-15,LG ENERGY SOLUTION LTD,https://patents.google.com/patent/US11251505B2
82,0.47706778142729167,US11296149B2,"Display substrate, display panel, display apparatus, and method of fabricating a display substrate thereof",2019-02-27,2019-02-27,2022-04-05,"HEFEI XINSHENG OPTOELECTRONICS TECHNOLOGY CO LTD, BOE TECHNOLOGY GROUP CO LTD",https://patents.google.com/patent/US11296149B2
83,0.475246342191699,US11221537B2,Switchable device,2015-12-22,2015-12-22,2022-01-11,PILKINGTON GROUP LTD,https://patents.google.com/patent/US11221537B2
84,0.47387279785010455,US11296219B2,Semiconductor device and method of manufacturing the same,2020-03-23,2020-03-23,2022-04-05,RENESAS ELECTRONICS CORP,https://patents.google.com/patent/US11296219B2
85,0.47297700806210813,US11296503B1,Electrostatic discharge protection circuits and semiconductor circuits,2020-12-29,2020-12-29,2022-04-05,VANGUARD INTERNATIONAL SEMICONDUCTOR CORP,https://patents.google.com/patent/US11296503B1
86,0.471324773564248,US11296299B2,"Display panel, display device and manufacturing method of display panel",2019-09-06,2019-09-06,2022-04-05,BOE TECHNOLOGY GROUP CO LTD,https://patents.google.com/patent/US11296299B2
87,0.46902557977505727,US11251436B2,"Secondary battery, battery pack, vehicle, and stationary power supply",2020-01-31,2020-01-31,2022-02-15,KABUSHIKI KAISHA TOSHIBA,https://patents.google.com/patent/US11251436B2
88,0.4684383398029263,US11224125B2,Sensor interposer employing castellated through-vias,2020-04-16,2020-04-16,2022-01-11,DEXCOM INC,https://patents.google.com/patent/US11224125B2
89,0.4619289340101523,US11259580B2,Health monitoring garment and system,2019-07-23,2019-07-23,2022-03-01,CORNERSTONE RESEARCH GROUP INC,https://patents.google.com/patent/US11259580B2
90,0.4611426296406888,US11295107B2,Display panel,2019-09-17,2019-09-17,2022-04-05,WUHAN CHINA STAR OPTOELECTRONICS TECHNOLOGY CO LTD,https://patents.google.com/patent/US11295107B2
91,0.46023688663282575,US11296165B2,"Array substrate, display apparatus, and method of fabricating array substrate",2019-05-20,2019-05-20,2022-04-05,BOE TECHNOLOGY GROUP CO LTD,https://patents.google.com/patent/US11296165B2
92,0.45970936597989454,US11251417B2,Methods and apparatus for controlling electrodeposition using surface charge properties,2018-04-12,2018-04-12,2022-02-15,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,https://patents.google.com/patent/US11251417B2
93,0.45890315517069774,US11251459B2,Electrochemical element comprising cellulose nanofiber separator and method for producing same,2014-09-29,2014-09-29,2022-02-15,KOREA FOREST RESEARCH INSTITUTE,https://patents.google.com/patent/US11251459B2
94,0.45776848810590226,US11309531B2,Stationary semi-solid battery module and method of manufacture,2020-01-07,2020-01-07,2022-04-19,24M TECHNOLOGIES INC,https://patents.google.com/patent/US11309531B2
95,0.4571414352543048,US11295812B2,Memory devices and memory operational methods,2019-06-26,2019-06-26,2022-04-05,MICRON TECHNOLOGY INC,https://patents.google.com/patent/US11295812B2
96,0.45685279187817257,US11309451B2,Flat panel detector and manufacturing method thereof,2019-12-09,2019-12-09,2022-04-19,"BEIJING BOE OPTOELECTRONICS TECHNOLOGY CO LTD, BOE TECHNOLOGY GROUP CO LTD",https://patents.google.com/patent/US11309451B2
97,0.45637503732457446,US11228031B2,"Electrode, secondary battery, battery pack, and vehicle",2020-03-06,2020-03-06,2022-01-18,KABUSHIKI KAISHA TOSHIBA,https://patents.google.com/patent/US11228031B2
98,0.45403603065591724,US11296311B2,Lower pyrolysis temperature binder for silicon-dominant anodes,2020-01-17,2020-01-17,2022-04-05,ENEVATE CORP,https://patents.google.com/patent/US11296311B2
99,0.4480441922962078,US11296378B2,Battery,2019-04-23,2019-04-23,2022-04-05,PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO LTD,https://patents.google.com/patent/US11296378B2
100,0.4452274310739524,US11259725B2,Interconnect for on-body analyte monitoring device,2020-12-30,2020-12-30,2022-03-01,ABBOTT DIABETES CARE INC,https://patents.google.com/patent/US11259725B2
101,0.4450084602368866,US11287918B2,"Pressure sensing device, display panel and method of manufacturing the same, display device",2020-06-25,2020-06-25,2022-03-29,BOE TECHNOLOGY GROUP CO LTD,https://patents.google.com/patent/US11287918B2
102,0.44328655319996013,US11274950B2,Fabrication of high density sensor array,2019-06-17,2019-06-17,2022-03-15,UNITED TECHNOLOGIES CORP,https://patents.google.com/patent/US11274950B2
103,0.4430277694834279,US11296320B2,Secondary battery,2019-04-26,2019-04-26,2022-04-05,CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,https://patents.google.com/patent/US11296320B2
104,0.439743206927441,US11224475B2,Electrosurgical device and methods,2019-10-22,2019-10-22,2022-01-18,MEDTRONIC HOLDING COMPANY SÀRL,https://patents.google.com/patent/US11224475B2
105,0.4393351249129093,US11309525B2,Organic light emitting diode display device with barrier wall and method of manufacturing the same,2020-01-15,2020-01-15,2022-04-19,SAMSUNG DISPLAY CO LTD,https://patents.google.com/patent/US11309525B2
106,0.43827013038718027,US11296291B2,High efficiency graphene/wide band-gap semiconductor heterojunction solar cells,2021-06-03,2021-06-03,2022-04-05,DIMEROND TECHNOLOGIES LLC,https://patents.google.com/patent/US11296291B2
107,0.43791181447198174,US11296383B2,Secondary battery,2020-07-21,2020-07-21,2022-04-05,PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO LTD,https://patents.google.com/patent/US11296383B2
108,0.4371752762018513,US11251457B2,Immiscible liquid separated battery system,2019-09-20,2019-09-20,2022-02-15,PHILLIPS 66 CO,https://patents.google.com/patent/US11251457B2
109,0.43654822335025384,US11296474B2,Flexible strip assembly system,2020-05-12,2020-05-12,2022-04-05,"TYCO ELECTRONICS CO LTD, TE CONNECTIVITY CORP",https://patents.google.com/patent/US11296474B2
110,0.4365084104707873,US11251382B2,Organic electroluminescent devices and manufacturing methods thereof,2017-08-09,2017-08-09,2022-02-15,SUZHOU QINGYUE OFTOELECTRONICS TECHNOLOGY CO LTD,https://patents.google.com/patent/US11251382B2
111,0.43594107693838957,US11287553B2,Liquid lens,2018-01-08,2018-01-08,2022-03-29,LG INNOTEK CO LTD,https://patents.google.com/patent/US11287553B2
112,0.43552304170399125,US11309549B2,Bipolar plate for a fuel cell and fuel cell,2017-11-30,2017-11-30,2022-04-19,ROBERT BOSCH GMBH,https://patents.google.com/patent/US11309549B2
113,0.43474669055439435,US11309456B2,"Nitride semiconductor light emitting device, ultraviolet light emitting module",2020-09-02,2020-09-02,2022-04-19,ASAHI KASEL KABUSHIKI KAISHA,https://patents.google.com/patent/US11309456B2
114,0.4333034736737334,US11251040B2,Cyclical deposition method including treatment step and apparatus for same,2020-02-14,2020-02-14,2022-02-15,ASM IP HOLDING BV,https://patents.google.com/patent/US11251040B2
115,0.43302478351746787,US11287486B2,3D MEMS magnetometer and associated methods,2015-12-02,2015-12-02,2022-03-29,MOTION ENGINE INC,https://patents.google.com/patent/US11287486B2
116,0.42639593908629436,US11296199B2,Semiconductor devices and methods,2020-05-11,2020-05-11,2022-04-05,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LTD,https://patents.google.com/patent/US11296199B2
117,0.4223350253807106,US11213694B2,ELECTRONIC DEVICE FOR SKIN MANAGEMENT OR SKIN TREATMENTS,2019-12-26,2019-12-26,2022-01-04,LG DISPLAY CO LTD,https://patents.google.com/patent/US11213694B2
118,0.4187717726684583,US11296235B2,"Thin film transistor having a wire grid on a channel region and manufacturing method thereof, array substrate and manufacturing method thereof, and display panel",2017-11-17,2017-11-17,2022-04-05,"BOE TECHNOLOGY GROUP CO LTD, BEIJING BOE DISPLAY TECHNOLOGY CO LTD",https://patents.google.com/patent/US11296235B2
119,0.4104508808599581,US11275200B2,"Array substrate and manufacturing method thereof, display panel and display device",2019-07-24,2019-07-24,2022-03-15,"BEIJING BOE DISPLAY TECHNOLOGY CO LTD, BOE TECHNOLOGY GROUP CO LTD",https://patents.google.com/patent/US11275200B2
120,0.40805215487210117,US11213672B2,Wound healing electrode set,2018-11-19,2018-11-19,2022-01-04,DJO LLC,https://patents.google.com/patent/US11213672B2
121,0.4080422016522345,US11296101B2,Three-dimensional memory device including an inter-tier etch stop layer and method of making the same,2020-03-27,2020-03-27,2022-04-05,SANDISK TECHNOLOGIES LLC,https://patents.google.com/patent/US11296101B2
122,0.40614113665770873,US11269440B1,Foldable force sensing device,2020-08-12,2020-08-12,2022-03-08,UNIVERSAL CEMENT CORP,https://patents.google.com/patent/US11269440B1
123,0.40604160445904247,US11250994B2,Electrodes for electrochemical cells,2018-05-08,2018-05-08,2022-02-15,GLOBAL ENERGY SCIENCE LLC,https://patents.google.com/patent/US11250994B2
124,0.4018214392355927,US11296370B2,Battery having high thermal conductivity case,2015-12-03,2015-12-03,2022-04-05,EAGLEPICHER TECHNOLOGIES LLC,https://patents.google.com/patent/US11296370B2
125,0.4010849009654624,US11268659B2,Lighting apparatus,2020-05-29,2020-05-29,2022-03-08,EPISTAR CORP,https://patents.google.com/patent/US11268659B2
126,0.3977505723101424,US11269228B2,"Cover plate, method for preparing the same, and display device",2019-09-25,2019-09-25,2022-03-08,"HEFEI XINSHENG OPTOELECTRONICS TECHNOLOGY CO LTD, BOE TECHNOLOGY GROUP CO LTD",https://patents.google.com/patent/US11269228B2
127,0.39679506320294616,US11250896B2,Valley spin hall effect based non-volatile memory,2020-06-23,2020-06-23,2022-02-15,PURDUE RESEARCH FOUNDATION,https://patents.google.com/patent/US11250896B2
128,0.39595899273414953,US11309475B2,Tin oxide-based thermoelectric device,2021-10-25,2021-10-25,2022-04-19,KING ABDULAZIZ UNIVERSITY,https://patents.google.com/patent/US11309475B2
129,0.39496367074748684,US11285722B2,Inkjet head and piezoelectric actuator,2021-03-29,2021-03-29,2022-03-29,BROTHER KOGYO KABUSHIKI KAISHA,https://patents.google.com/patent/US11285722B2
130,0.39424703891708973,US11251483B2,Method of preparing an electrochemical cell,2017-06-01,2017-06-01,2022-02-15,QINETIQ LTD,https://patents.google.com/patent/US11251483B2
131,0.3925549915397631,US11254564B2,Semiconductor manufacturing method and structure thereof,2020-04-08,2020-04-08,2022-02-22,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LTD,https://patents.google.com/patent/US11254564B2
132,0.39193789190803224,US11305982B2,Eight spring dual substrate MEMS plate switch and method of manufacture,2019-07-18,2019-07-18,2022-04-19,INNOVATIVE MICRO TECHNOLOGY,https://patents.google.com/patent/US11305982B2
133,0.3882452473375137,US11251004B2,Vacuum circuit interrupter with piezoelectric actuator and vacuum circuit breaker incorporating same,2017-05-08,2017-05-08,2022-02-15,CAMLIN TECHNOLOGIES LTD,https://patents.google.com/patent/US11251004B2
134,0.38631432268338806,US11221705B2,Touch panel and display device including a pressure-sensitive sensor,2018-02-27,2018-02-27,2022-01-11,MITSUBISHI ELECTRIC CORP,https://patents.google.com/patent/US11221705B2
135,0.3849208719020603,US11251356B2,Actuator and sensor device based on electroactive polymer,2016-08-01,2016-08-01,2022-02-15,KONINKLIJKE PHILIPS NV,https://patents.google.com/patent/US11251356B2
136,0.38385587737633126,US11296113B2,Three-dimensional memory device with vertical field effect transistors and method of making thereof,2020-08-31,2020-08-31,2022-04-05,SANDISK TECHNOLOGIES LLC,https://patents.google.com/patent/US11296113B2
